epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2249.72,1.71836,2.82923,1.69102,0.58575,0.37424,0.3081,0.16803,1.84501,3.31804,1.72201,0.000302865,0.000302865,0.000302865
2,3267.61,1.69668,2.40552,1.71803,0.57854,0.2678,0.3231,0.17395,1.86861,2.92346,1.75486,0.000585872,0.000585872,0.000585872
3,4440.28,1.67169,2.3018,1.71012,0.28755,0.37745,0.28483,0.14502,1.82258,2.72242,1.71364,0.00084888,0.00084888,0.00084888
4,5670.88,1.61477,2.22712,1.68727,0.54174,0.39403,0.39289,0.21498,1.75048,2.39279,1.70615,0.000819009,0.000819009,0.000819009
5,9284.09,1.55362,2.11503,1.64357,0.5187,0.45087,0.41766,0.23941,1.64197,2.17458,1.64273,0.000789012,0.000789012,0.000789012
6,10607.8,1.51122,2.04186,1.60904,0.42534,0.4483,0.4185,0.23249,1.64215,2.09071,1.64063,0.000759015,0.000759015,0.000759015
7,11910.4,1.49968,2.01981,1.60568,0.59527,0.43345,0.44691,0.25144,1.61206,2.06342,1.63839,0.000729018,0.000729018,0.000729018
8,13223.8,1.48127,1.98082,1.58694,0.46494,0.49266,0.44039,0.26391,1.57743,1.99352,1.57806,0.000699021,0.000699021,0.000699021
9,14776.2,1.45362,1.91332,1.57227,0.52269,0.46673,0.46232,0.26913,1.57331,1.96175,1.56548,0.000669024,0.000669024,0.000669024
10,15890.1,1.43842,1.86489,1.55599,0.59263,0.45982,0.44079,0.25384,1.58411,1.973,1.58542,0.000639027,0.000639027,0.000639027
11,16951.8,1.42612,1.83738,1.55128,0.46762,0.51658,0.47009,0.27944,1.54981,1.90773,1.52854,0.00060903,0.00060903,0.00060903
12,17996.9,1.4003,1.78798,1.53027,0.50718,0.52451,0.49459,0.30077,1.51177,1.88057,1.51718,0.000579033,0.000579033,0.000579033
13,19042.6,1.3955,1.7796,1.52936,0.44295,0.51094,0.47339,0.28407,1.49767,1.85284,1.5287,0.000549036,0.000549036,0.000549036
14,20062.4,1.37292,1.74897,1.51415,0.49686,0.51461,0.4878,0.29137,1.49828,1.88396,1.51543,0.000519039,0.000519039,0.000519039
15,21087.9,1.36022,1.73444,1.51444,0.51927,0.52172,0.50729,0.31635,1.50528,1.76997,1.50774,0.000489042,0.000489042,0.000489042
16,22332.3,1.34558,1.66455,1.49748,0.5366,0.51704,0.50845,0.30622,1.45316,1.75129,1.47411,0.000459045,0.000459045,0.000459045
17,23712.5,1.3481,1.6539,1.48874,0.53114,0.52208,0.50372,0.30935,1.46373,1.73166,1.46109,0.000429048,0.000429048,0.000429048
18,25095.7,1.323,1.64,1.48167,0.55236,0.53291,0.51109,0.31938,1.44071,1.68295,1.46389,0.000399051,0.000399051,0.000399051
19,26534.6,1.31336,1.60033,1.47579,0.55599,0.51003,0.51024,0.31647,1.44829,1.6112,1.45253,0.000369054,0.000369054,0.000369054
20,27977.8,1.31488,1.59486,1.47485,0.56646,0.51653,0.50814,0.32091,1.42267,1.59917,1.44527,0.000339057,0.000339057,0.000339057
21,29361,1.35758,1.52783,1.50058,0.55443,0.54788,0.51275,0.32921,1.39764,1.59866,1.42991,0.00030906,0.00030906,0.00030906
22,30763.3,1.32988,1.47271,1.48346,0.55502,0.54766,0.51025,0.32298,1.38889,1.55554,1.41598,0.000279063,0.000279063,0.000279063
23,32178.4,1.31883,1.45955,1.47656,0.52273,0.55373,0.51766,0.33234,1.38706,1.5119,1.42895,0.000249066,0.000249066,0.000249066
24,33587.4,1.30935,1.4195,1.47929,0.55169,0.56932,0.52249,0.33379,1.37366,1.50975,1.4171,0.000219069,0.000219069,0.000219069
25,35008,1.29014,1.38247,1.46223,0.50916,0.58569,0.5294,0.33649,1.36722,1.46483,1.41327,0.000189072,0.000189072,0.000189072
26,36432.2,1.28177,1.3575,1.45628,0.58021,0.54557,0.53981,0.34769,1.34836,1.4464,1.4089,0.000159075,0.000159075,0.000159075
27,37854.8,1.25933,1.31865,1.44441,0.53973,0.55596,0.53342,0.35068,1.3529,1.43764,1.40929,0.000129078,0.000129078,0.000129078
28,39296.6,1.25212,1.30353,1.43177,0.52328,0.57669,0.53655,0.34964,1.36271,1.42897,1.39408,9.9081e-05,9.9081e-05,9.9081e-05
29,40719.5,1.23772,1.27342,1.4219,0.53253,0.5748,0.54852,0.35758,1.34629,1.41172,1.3889,6.9084e-05,6.9084e-05,6.9084e-05
30,42114.9,1.2269,1.25348,1.41174,0.55067,0.58034,0.55001,0.35992,1.33219,1.39898,1.38296,3.9087e-05,3.9087e-05,3.9087e-05
